24298,ANTH 346 - 01,Sem: Political Lives of NGOs,15,0 / 15,Pendleton Hall East 349,01:30 pm - 04:00 pm,W,Susan Ellison,,SBA,More
20658,ARAB 102 - 01,Elementary Arabic,14,1 / 15,Green Hall 428,08:30 am - 09:40 am,MTWTh,Daniel Zitnick,,,More
20969,ARAB 102 - 02,Elementary Arabic,13,2 / 15,Green Hall 428,09:50 am - 11:00 am,MTWTh,Daniel Zitnick,,,More
20659,ARAB 202 - 01,Intermediate Arabic,12,3 / 15,Founders Hall 322A,08:30 am - 09:40 am,MWTh,Rachid Aadnani,,LL,More
21382,ARAB 202 - 02,Intermediate Arabic,12,3 / 15,Founders Hall 322A,09:50 am - 11:00 am,MWTh,Rachid Aadnani,,LL,More
24299,ARAB 210 - 01,Intro Arabic Lit inTranslation,11,9 / 20,Green Hall 136A,02:15 pm - 04:45 pm,W,Rachid Aadnani,,LL,More
24300,ARAB 307 - 01,Classical Arabic Literature,7,5 / 12,Clapp Library SANGER,09:50 am - 12:20 pm,W,Louise Marlow,,LL,More
24301,ARTH 100 - 01,Intro: Art and its Histories,18,0 / 18,Jewett Art Center 450,08:30 am - 09:40 am,MTh,Elizabeth Oliver,,ARS,More
24516,ARTH 100 - 02,Intro: Art and its Histories,18,0 / 18,Jewett Art Center 452,11:10 am - 12:20 pm,MTh,Kimberly Cassibry,,ARS,More
24517,ARTH 100 - 03,Intro: Art and its Histories,18,0 / 18,Jewett Art Center 454,01:30 pm - 02:40 pm,TF,Patricia Berman,,ARS,More
24302,ARTH 203 - 01,"Iraq's Antiquities, Then&Now",24,6 / 30,Jewett Art Center 450,06:00 pm - 08:30 pm,M,Kimberly Cassibry,,ARS,More
24473,ARTH 206 - 01,"American Art, Arch & Design",6,14 / 20,Jewett Art Center 450,02:50 pm - 04:00 pm,MTh,Martha McNamara,,ARS,More
24303,ARTH 225 - 01,Modern Art Since 1945,38,2 / 40,Collins Cinema CIN,11:10 am - 12:20 pm,TF,Patricia Berman,,ARS,More
24304,ARTH 228 - 01,Modern Architecture,21,9 / 30,Jewett Art Center 450,06:00 pm - 08:30 pm,T,Alice Friedman,,ARS,More
